year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1993,23.6,40.9,30,63.9,81.2,11.5,0,8.3,44.4,156.7,95.3,7.6,175.1,19.8,296.4,563.4,152.5
1994,78.2,96.6,4.7,27,96.5,0,0,0.3,0.6,56,64.1,37.3,128.2,0.3,120.7,461.3,182.4
1995,42.9,48.8,16.6,25.8,18.9,28.1,35.7,0,36.9,13.8,202.8,297,61.3,63.8,253.5,767.3,129
1996,276.5,54.2,,34,110.1,0,1.7,0,41.9,36.8,59.5,232.7,,1.7,138.2,,627.7
1997,139.3,3.6,0,38.3,102.9,36.2,8,74,21.8,127.8,245.4,148.5,141.2,118.2,395,945.8,375.6
1998,36.1,62.6,13.6,48.6,118.2,15.7,0,0,54,7,10.3,17.9,180.4,15.7,71.3,384,247.2
1999,58.6,16.1,84.1,31.8,43.7,0.1,0,10.1,76.8,162.1,20.4,39.9,159.6,10.2,259.3,543.7,92.6
2000,4.5,9.5,22.3,153.6,75.2,1.2,2.6,0.5,7.5,38.9,143,248.2,251.1,4.3,189.4,707,53.9
2001,124.9,101.2,39.7,3.3,39.7,15,0.8,0.2,70.2,85.6,34.9,28,82.7,16,190.7,543.5,474.3
2002,61.9,24.4,101.6,49.9,20.2,6,0.9,5.8,84,40.2,115.7,137,171.7,12.7,239.9,647.6,114.3
2003,96.8,60.1,50.7,71.5,8.2,3.4,2.3,0.2,9.2,125.4,64,50.9,130.4,5.9,198.6,542.7,293.9
2004,45.4,64.8,25.2,25,23.3,0,0,8.8,15.5,161.3,19.5,20.1,73.5,8.8,196.3,408.9,161.1
2005,0,1.5,40.5,8.5,28.1,2.4,0.3,0.9,1.2,163.3,45.6,56.6,77.1,3.6,210.1,348.9,21.6
2006,19.9,48.8,97.7,52.6,0,32,0.4,31.7,38.1,199.8,144.2,39,150.3,64.1,382.1,704.2,125.3
2007,12.2,99.9,9.7,38.4,60.7,41.7,0.6,3,26.3,61.6,43,6.7,108.8,45.3,130.9,403.8,151.1
2008,55.6,63.2,5.6,142.7,,2.5,0.1,0.3,9.3,,,,,2.9,,,125.5
