date,tmax,tmin,tmed
07/1925,27.5,14.6,21.05
08/1925,29.9,16.2,23.05
09/1925,27.1,15,21.05
10/1925,21.8,12.8,17.3
11/1925,14.1,6.9,10.5
12/1925,13.7,8.1,10.9
01/1926,12.7,5.6,9.15
02/1926,15.8,8.4,12.1
03/1926,17.5,8.8,13.15
04/1926,17.1,9,13.05
05/1926,19.5,9.9,14.7
06/1926,25.9,12.8,19.35
07/1926,30.6,16.3,23.45
08/1926,32.9,18,25.45
09/1926,30.9,18.1,24.5
10/1926,23.9,14,18.95
11/1926,14.7,8.1,11.4
12/1926,12.1,4.4,8.25
01/1927,12.3,5.5,8.9
02/1927,12.9,5.3,9.1
03/1927,14.4,6.7,10.55
04/1927,20.9,8.9,14.9
05/1927,21.9,12.3,17.1
06/1927,27.2,15,21.1
07/1927,26.7,14,20.35
08/1927,29.6,15.1,22.35
09/1927,25.9,14.1,20
10/1927,24,14.3,19.15
11/1927,15.2,7.5,11.35
12/1927,12.2,6.6,9.4
01/1928,11.6,4.4,8
02/1928,15.4,7.5,11.45
03/1928,14.7,7.6,11.15
04/1928,16.2,8.3,12.25
05/1928,18.2,9.8,14
06/1928,25.8,14.2,20
07/1928,32.6,19,25.8
08/1928,29.5,16.4,22.95
09/1928,26.4,15.9,21.15
10/1928,20,11.8,15.9
11/1928,15.1,7.3,11.2
12/1928,12.6,4.8,8.7
01/1929,11.5,4.7,8.1
02/1929,13.5,6.7,10.1
03/1929,17,8.8,12.9
04/1929,19.6,10.2,14.9
05/1929,20.7,9.9,15.3
06/1929,27,14.9,20.95
07/1929,30.3,17.3,23.8
08/1929,30.7,17.3,24
09/1929,25.6,16.5,21.05
10/1929,21.7,13,17.35
11/1929,15.4,8.9,12.15
12/1929,14.1,8.4,11.25
01/1930,12.3,6.1,9.2
02/1930,11.1,5,8.05
03/1930,15.8,8,11.9
04/1930,14.4,7.8,11.1
05/1930,21.7,11.4,16.55
06/1930,22.6,12.9,17.75
07/1930,27.6,15.7,21.65
08/1930,31.1,17.7,24.4
09/1930,27.6,15.8,21.7
10/1930,22.9,13.4,18.15
11/1930,16.9,10,13.45
12/1930,13.2,7.1,10.15
01/1931,11.9,5.4,8.65
02/1931,13.2,5.4,9.3
03/1931,15.9,9.2,12.55
04/1931,18,9.5,13.75
05/1931,20.1,10,15.05
06/1931,27,14.4,20.7
07/1931,28.1,15,21.55
08/1931,27.2,15.2,21.2
09/1931,25.4,15.2,20.3
10/1931,20.4,12.2,16.3
11/1931,15.4,9,12.2
12/1931,12.2,4.3,8.25
01/1932,11.8,5.4,8.6
02/1932,11.2,4.3,7.75
03/1932,15.4,8.1,11.75
04/1932,15.8,7.1,11.45
05/1932,20.1,9.7,14.9
06/1932,24,13.3,18.65
07/1932,27.8,15,21.4
08/1932,29.7,16.9,23.3
09/1932,25.1,15.5,20.3
10/1932,19.1,8.5,13.8
11/1932,16,9.1,12.55
12/1932,12.7,7.4,10.05
01/1933,10.7,4.9,7.8
02/1933,12.9,5.4,9.15
03/1933,14.6,8.4,11.5
04/1933,20.5,10.8,15.65
05/1933,23.9,13.1,18.5
06/1933,24.1,12.6,18.35
07/1933,30.8,16.8,23.8
08/1933,32.3,17.8,25.05
09/1933,24.2,14.5,19.35
10/1933,19.2,12.5,15.85
11/1933,12.7,7.1,9.9
12/1933,9.2,3.8,6.5
01/1934,10.9,4.8,7.85
02/1934,12.7,4.8,8.75
03/1934,12.9,6,9.45
04/1934,14.8,8,11.4
05/1934,21.5,12.3,16.9
06/1934,27.1,14.3,20.7
07/1934,29.8,16.5,23.15
08/1934,28,15.3,21.65
09/1934,27.2,15.2,21.2
10/1934,23.1,13.7,18.4
11/1934,12.8,6.5,9.65
12/1934,13.8,8.8,11.3
01/1935,10.7,3.7,7.2
02/1935,13,5.2,9.1
03/1935,16.6,8.6,12.6
04/1935,18.6,8.7,13.65
05/1935,17.7,9.4,13.55
06/1935,24.4,13.2,18.8
07/1935,30.7,16.9,23.8
08/1935,29.4,16.7,23.05
09/1935,27.8,15.1,21.45
10/1935,19.8,10.8,15.3
11/1935,14.5,8.5,11.5
12/1935,12.6,7.9,10.25
01/1936,13.2,8.6,10.9
02/1936,13.2,8.4,10.8
03/1936,13.3,7.7,10.5
04/1936,16.2,9.5,12.85
05/1936,17.5,9.5,13.5
06/1936,22.7,11.8,17.25
07/1936,27.6,14.5,21.05
08/1936,32.7,17.8,25.25
09/1936,28.3,15.1,21.7
10/1936,21.4,11.2,16.3
11/1936,15,7.6,11.3
12/1936,13,4.9,8.95
01/1937,12.6,6.3,9.45
02/1937,15.2,7.8,11.5
03/1937,13.5,6.9,10.2
04/1937,19.2,9.7,14.45
05/1937,22.6,10.8,16.7
06/1937,25.6,13,19.3
07/1937,32.4,17.2,24.8
08/1937,32.2,16.5,24.35
09/1937,27.1,14.8,20.95
10/1937,20.5,12.6,16.55
11/1937,16.3,11,13.65
12/1937,11.7,5.6,8.65
01/1938,12.5,5.7,9.1
02/1938,13.6,5.1,9.35
03/1938,19.3,8.4,13.85
04/1938,20.5,10.6,15.55
05/1938,20.7,10.5,15.6
06/1938,29.2,14.8,22
07/1938,30.2,15.2,22.7
08/1938,30,15.8,22.9
09/1938,24.5,13.9,19.2
10/1938,22.8,12.8,17.8
11/1938,18.3,10.3,14.3
12/1938,11.9,6.1,9
01/1939,13,7.5,10.25
02/1939,14.2,6.5,10.35
03/1939,15.4,6.3,10.85
04/1939,17.2,8.4,12.8
05/1939,22.3,11.4,16.85
06/1939,23.9,13.3,18.6
07/1939,29.2,15.4,22.3
08/1939,28.5,15.3,21.9
09/1939,26.6,15.8,21.2
10/1939,18.5,11.9,15.2
11/1939,15.7,8.4,12.05
12/1939,12.4,7,9.7
01/1940,11.7,6.1,8.9
02/1940,14.5,8.1,11.3
03/1940,17.3,9.6,13.45
04/1940,18.6,9.5,14.05
05/1940,20,10.5,15.25
06/1940,25.6,13.9,19.75
07/1940,29.2,15,22.1
08/1940,32.8,18,25.4
09/1940,27.2,14.8,21
10/1940,19.1,10.8,14.95
11/1940,15.2,8,11.6
12/1940,11.9,4,7.95
01/1941,9.9,4.6,7.25
02/1941,12.6,6.5,9.55
03/1941,14.6,7.3,10.95
04/1941,16.8,8.8,12.8
05/1941,18.7,9.9,14.3
06/1941,26.8,14.3,20.55
07/1941,29.5,16.4,22.95
08/1941,31.9,16.4,24.15
09/1941,29.5,17.4,23.45
10/1941,25.8,13.7,19.75
11/1941,14.9,8,11.45
12/1941,12.5,4.2,8.35
01/1942,11.5,5,8.25
02/1942,12.8,4.1,8.45
03/1942,15.7,8.7,12.2
04/1942,17,9.1,13.05
05/1942,21.4,11.3,16.35
06/1942,26.9,14.2,20.55
07/1942,31,15.6,23.3
08/1942,30.3,15.5,22.9
09/1942,26.8,15,20.9
10/1942,22.6,13.5,18.05
11/1942,16.3,8.9,12.6
12/1942,13.5,7.1,10.3
01/1943,13.1,7.2,10.15
02/1943,14.1,6,10.05
