date,tmax,tmin,tmed
03/1927,18.3,14,16.15
04/1927,19,14.7,16.85
05/1927,20.5,16.7,18.6
06/1927,22.2,18.4,20.3
07/1927,23.7,19.8,21.75
08/1927,25,20.8,22.9
09/1927,24.4,20,22.2
10/1927,23.5,19.4,21.45
11/1927,21.9,17.3,19.6
12/1927,20,16.8,18.4
01/1928,18.6,15.5,17.05
02/1928,19.3,14.9,17.1
03/1928,20.4,15.2,17.8
04/1928,20.6,15.9,18.25
05/1928,21.4,16.8,19.1
06/1928,23.5,18.5,21
07/1928,23.9,19.4,21.65
08/1928,24.4,19.9,22.15
09/1928,24.3,20.1,22.2
10/1928,23,18.7,20.85
11/1928,21.2,16.1,18.65
12/1928,19.6,14.3,16.95
01/1929,20,15.2,17.6
02/1929,18.6,15,16.8
03/1929,18.8,14,16.4
04/1929,18.6,14.4,16.5
05/1929,19.5,15.4,17.45
06/1929,21.3,17.5,19.4
07/1929,23.5,18.8,21.15
08/1929,23.7,20.1,21.9
09/1929,24.2,19.9,22.05
10/1929,24.1,19.4,21.75
11/1929,21.5,13.6,17.55
12/1929,20.2,15.4,17.8
01/1930,19.3,14.1,16.7
02/1930,17.9,13,15.45
03/1930,18.6,13.8,16.2
04/1930,18.9,13.8,16.35
05/1930,20.8,16,18.4
06/1930,21.8,17.4,19.6
07/1930,23.8,19.2,21.5
08/1930,25.3,20.4,22.85
09/1930,25.5,20.7,23.1
10/1930,25.5,19.6,22.55
11/1930,22.8,16.7,19.75
12/1930,20.1,13.6,16.85
01/1931,18.8,13.5,16.15
02/1931,18.6,12.6,15.6
03/1931,19.4,13.8,16.6
04/1931,18.9,13.6,16.25
05/1931,21.3,15.6,18.45
06/1931,22.4,17.5,19.95
07/1931,23.5,18.4,20.95
08/1931,24.6,19.4,22
09/1931,24.7,18.8,21.75
10/1931,24.2,18.6,21.4
11/1931,22.5,16.4,19.45
12/1931,19.9,13.5,16.7
01/1932,19.5,13.8,16.65
02/1932,18.9,13.3,16.1
03/1932,19.1,13.5,16.3
04/1932,19.6,13.6,16.6
05/1932,20.3,15.2,17.75
06/1932,22,17.3,19.65
07/1932,23.2,18.7,20.95
08/1932,24.8,19.5,22.15
09/1932,24.5,19.3,21.9
10/1932,23.3,17.4,20.35
11/1932,21.3,15.9,18.6
12/1932,19.4,13.9,16.65
01/1933,18.3,12.8,15.55
02/1933,18.8,13.1,15.95
03/1933,19.1,13.9,16.5
04/1933,20.6,14.4,17.5
05/1933,21,15.8,18.4
06/1933,21.9,17.1,19.5
07/1933,23.4,18.4,20.9
08/1933,24.4,19.4,21.9
09/1933,24.6,18.6,21.6
10/1933,23.7,16.5,20.1
11/1933,21,13,17
12/1933,19,10.9,14.95
01/1934,18.2,10.5,14.35
02/1934,17.7,9.9,13.8
03/1934,18.5,10.5,14.5
04/1934,18.6,11.7,15.15
05/1934,20,12.9,16.45
06/1934,22.3,15.5,18.9
07/1934,23.4,17.3,20.35
08/1934,24,17.1,20.55
